AppID,Full audio languages
2870,French
2870,Korean
2900,
2910,
2920,
2990,
3010,
3020,
3050,
3130,English
3130,Russian
3130,French
3170,
3230,
3260,
3270,
3300,
3310,
3320,
3330,
3340,
3350,
3360,
3380,
3390,
3400,
3410,
3420,
3430,
3450,
3460,
3480,
3483,
3490,
3500,
3510,
3520,
3530,
3540,
3560,
3570,
3580,
3590,
3600,
3610,
3620,
3700,
3710,
3720,
3730,
3800,
3810,
3820,
3830,
3900,
3910,
3920,
3960,English
3980,
3990,
4000,English
4000,Ukrainian
4100,
4230,
4240,
4290,
4300,
4420,
4460,
4470,
4500,English
4500,French
4500,Italian
4500,Spanish - Spain
4500,German
4500,Russian
4500,Ukrainian
4500,Polish
4520,
4530,
4560,English
4560,French
4560,German
4560,Russian
4560,Traditional Chinese
4570,
4580,
4700,English
4700,French
4700,Italian
4700,German
4700,Spanish - Spain
4700,Czech
4700,Hungarian
4700,Polish
4700,Russian
4720,English
4720,Spanish - Spain
4760,
4770,
4780,
4800,
4850,
4870,
4880,
4890,English
4890,Russian
4900,
4920,English
4920,Czech
4932,English
4932,Czech
6000,English
6000,French
6000,German
6000,Spanish - Spain
6010,
6020,English
6020,French
6020,German
6020,Spanish - Spain
6030,English
6030,French
6030,German
6030,Traditional Chinese
6040,English
6040,French
6040,Italian
6040,German
6040,Spanish - Spain
6060,English
6080,English
6080,French
6080,German
6080,Italian
6080,Spanish - Spain
6090,English
6090,French
6090,German
6090,Spanish - Spain
6120,English
6129,English
6200,
6210,
6220,
6250,
6270,
6300,
6310,
6370,
6400,
6420,English
6420,German
6420,Russian
6420,Hungarian
6510,English
6510,Korean
6550,English
6550,Italian
6600,
6800,
6810,
6830,English
6830,German
6840,
6850,
6860,
6870,
6880,
6900,English
6900,Spanish - Spain
6910,
6920,
6980,
7000,
7010,
7020,
7110,
7200,
7210,English
7210,French
7220,
7260,
7340,
7510,
7520,English
7520,German
7520,Russian
7530,English
7530,Spanish - Spain
7600,
7610,
7620,
7650,
7660,
7670,English
7670,French
7670,German
7670,Italian
7670,Spanish - Spain
7730,
7760,
7770,
7800,
7830,English
7830,Russian
7830,French
7830,Italian
7830,Spanish - Spain
7830,German
7840,
7860,English
7860,French
7860,German
7860,Spanish - Spain
7860,Italian
7860,Russian
7860,Hungarian
7940,
8000,
8080,French
8080,German
8080,Italian
8080,Spanish - Spain
8100,
8140,
8170,
8190,English
8190,French
8190,German
8190,Italian
8190,Spanish - Spain
8190,Russian
8200,
8220,
8230,
8240,
8250,
8260,
8270,
8280,
8300,
8310,
8320,
8330,
8340,
8400,
8500,English
8500,German
8500,Russian
8500,French
8500,Korean
8500,Japanese
8600,
8640,
8780,
8790,English
8800,
8850,English
8850,French
8850,German
8850,Italian
8850,Spanish - Spain
8870,English
8870,French
8870,German
8870,Italian
8870,Spanish - Spain
8870,Japanese
8870,Traditional Chinese
8880,
8890,
8930,English
8930,French
8930,German
8930,Italian
8930,Spanish - Spain
8930,Traditional Chinese
8970,
8980,
9000,
9010,
9030,
9040,
9050,
9060,
9160,
9180,
9200,
9219,
9310,
9340,
9350,
9420,
9450,
9460,
9480,
9500,
9710,
9730,
9760,
9800,English
9800,Russian
9800,French
9800,Italian
9800,German
9800,Spanish - Spain
9850,
9880,
9900,English
9900,German
9940,English
9940,Spanish - Spain
9960,
9970,
9980,
10090,
10100,
10110,
10120,
10130,
10140,
10150,
10180,
10190,
10220,
10230,
10240,
10250,
10260,
10270,
10460,
10500,
10520,
10680,
11020,
11040,English
11040,French
11040,Italian
11040,German
11040,Russian
11050,English
11050,French
11050,German
11050,Italian
11050,Spanish - Spain
11130,English
11130,French
11130,German
11130,Italian
11130,Russian
11130,Spanish - Spain
11140,English
11140,French
11140,German
11140,Italian
11140,Russian
11150,English
11150,French
11150,German
11150,Russian
11150,Spanish - Spain
11190,English
11190,French
11190,German
11190,Italian
11190,Russian
11190,Spanish - Spain
11200,English
11200,Spanish - Spain
11230,
11240,
11250,
11260,
11280,
11330,
11340,
11360,
11370,
11390,
11450,
11480,English
11480,Russian
11550,
11560,
11590,
11610,
11920,
12100,English
12100,Spanish - Spain
12110,
12120,
12130,
12140,English
12150,
12160,English
12160,Spanish - Spain
12170,
12180,
12200,English
12200,French
12210,English
12210,Spanish - Spain
12220,English
12220,Spanish - Spain
12310,
12320,
12330,
12340,
12360,
12370,
12380,
12390,
12420,
12430,
12440,
12450,
12460,
12470,
12480,
12500,
12510,
12520,
12530,
12540,
12560,
12570,
12580,
12590,
12600,
12640,
12650,
12660,
12670,
12690,English
12710,
12770,
12790,
12810,
12830,
12900,
13000,
13140,
13200,
13210,
13230,
13240,
13250,
13500,
13520,
13530,
13540,
13560,
13570,
13580,
13600,
13620,
13630,
15000,
15080,
15100,
15120,
15130,
15160,
15170,
15190,
15200,
15210,
15240,
15270,
15280,
15300,
15320,
15350,
15370,
15380,
15390,
15400,
15500,
15520,
15560,English
15620,
15700,
15710,
15740,English
15740,French
15740,Italian
15740,German
15740,Spanish - Spain
15750,
15800,
15900,
15910,
15920,
15930,
15960,
15970,
16000,
16020,
16030,
16040,
16060,
16100,
16110,
16120,
16130,
16180,
16200,
16300,
16450,
16500,
16600,
16620,
16710,
16720,
16730,
16810,
16900,English
17020,
17080,English
17080,Portuguese
17100,
17120,
17140,
17180,
17300,
17330,
17340,
17390,
17410,English
17410,French
17410,German
17410,Italian
17410,Spanish - Spain
17410,Russian
17410,Portuguese
17430,
17440,
17450,
17460,
17470,
17480,
17500,English
17500,Spanish - Latin America
17570,
17580,
17710,English
17710,German
17710,Korean
17740,English
17740,Portuguese - Brazil
18000,
18020,
18040,
18049,
18050,
18070,English
18110,
18120,
18300,
18400,
18420,
18430,
18450,
18460,
18470,
18480,
18500,
18600,
18700,
18820,
19000,
19020,
19030,
19080,
19200,
19320,
19500,
19680,English
19680,French
19680,German
19680,Italian
19680,Spanish - Spain
19800,
19810,
19830,
19900,
19980,
20200,
20500,English
20500,French
20500,German
20500,Italian
20500,Spanish - Spain
20500,Russian
20510,English
20510,French
20510,German
20510,Spanish - Spain
20510,Russian
20510,Ukrainian
20510,Italian
20510,Polish
20530,
20540,
20550,
20570,
20700,
20710,
20820,
20900,
20920,English
20920,German
20920,French
20920,Russian
20920,Polish
20920,Portuguese - Brazil
21000,
21010,
21030,
21090,
21100,English
21100,French
21100,German
21100,Italian
21100,Spanish - Spain
21110,
21120,
21130,
21300,
21400,
21500,
21600,English
21640,
21660,English
21670,English
21670,Korean
21680,English
21680,German
21690,English
21690,Russian
21780,
21800,
21980,
22000,
22100,
22120,
22130,
22180,
22200,English[b][/b]
22200,"Italian 

[b][/b] "
22230,
22300,
22310,
22320,
22330,English
22330,French
22330,Italian
22330,German
22330,Spanish - Spain
22340,
22350,
22360,
22362,
22370,
22380,
22450,
22500,
22600,
22610,
22650,
22670,
23150,
23300,
23310,
23380,
23400,
23420,
23450,
23455,
23460,
23490,
23500,
23530,English
23600,
23700,
24010,
24043,
24049,
24058,
24085,
24200,
24240,English
24240,Spanish - Spain
24400,
24410,
24420,
24460,
24480,
24640,
24650,
24670,English
24720,
24740,
24780,
24790,
24800,
24810,
24840,
24870,
24880,English
24880,French
24880,German
24880,Italian
24880,Russian
24960,
24980,
25000,
25010,
25500,
25600,
25620,
25700,
25800,
25808,
25830,
25850,English
25850,Russian
25860,
25890,
25900,
25910,English
25910,Spanish - Spain
25930,
25980,
25990,
26000,
26300,
26500,
26800,
26900,
27000,
27020,
27050,
27200,
27330,
27400,
27600,
27800,
27810,
27900,English[b][/b]
27900,German[b][/b]
27900,"Spanish - Spain
[b][/b]"
27920,
27940,
28000,
29120,
29130,
29160,
29180,
29540,English&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;
29540,French&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;
29540,Italian&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;
29540,German&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;
29540,Spanish - Spain&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;
29540,Korean&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;
29540,Japanese &amp;lt;br /&amp;gt;&amp;lt;br /&amp;gt;&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt; 
29560,English&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;
29560,French&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;
29560,Italian&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;
29560,German&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;
29560,Spanish - Spain&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;
29560,Korean&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;
29560,Japanese &amp;lt;br /&amp;gt;&amp;lt;br /&amp;gt;&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt; 
29570,English[b][/b]
29570,French[b][/b]
29570,Italian[b][/b]
29570,German[b][/b]
29570,Spanish - Spain[b][/b]
29570,Korean[b][/b]
29570,"Japanese 

[b][/b] "
29580,English&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;
29580,French&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;
29580,Italian&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;
29580,German&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;
29580,Spanish - Spain&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;
29580,Korean&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt;
29580,Japanese &amp;lt;br /&amp;gt;&amp;lt;br /&amp;gt;&amp;lt;strong&amp;gt;&amp;lt;/strong&amp;gt; 
29700,
29800,
29900,
31100,English
31109,English
31160,English
31170,
31180,
31190,
31200,
31210,
31270,
31280,
31290,English
31290,German
31300,
31700,
31800,
31810,
31820,
31830,English
31830,French
31840,
31850,
31860,
31870,
31880,
31890,
31900,
31910,
31920,English
31920,German
31930,
31980,
32000,
32110,
32120,
32140,
32150,
32160,
32200,
32310,
32330,
32340,English
32350,English
32350,French
32350,Italian
32350,German
32350,Spanish - Spain
32360,English
32360,Spanish - Spain
32370,English
32370,German
32370,French
32380,English
32380,French
32380,Italian
32380,Spanish - Spain
32390,English
32390,French
32390,Italian
32390,Spanish - Spain
32400,English
32400,French
32400,German
32400,Italian
32400,Spanish - Spain
32410,
32420,English
32430,English
32430,French
32430,German
32430,Italian
32430,Spanish - Spain
32440,
32450,
32460,English
32460,French
32470,English
32470,French
32470,German
32470,Spanish - Spain
32500,English
32500,French
32500,German
32500,Italian
32500,Spanish - Spain
32500,Russian
32510,
32610,
32620,
32630,
32640,
32650,
32660,
32670,
32680,
32710,
32720,
32730,
32740,
32750,
32760,
32770,
32900,
33100,English
33100,Russian
33110,English
33110,Russian
33120,English
33120,Russian
33130,English
33130,Russian
33180,English
33180,Russian
33220,
33229,
33230,English
33230,French
33230,German
33230,Italian
33230,Spanish - Spain
33230,Swedish
33320,
33390,
33460,
33520,
33530,
33550,
33570,
33600,English
33600,French
33600,Italian
33600,German
33600,Spanish - Spain
33610,English
33620,
33650,
33660,
33670,
33680,
33700,
33710,
33720,
33730,
33760,
33770,
33790,
33930,English
33930,Russian
33950,English
33950,Czech
33980,
33990,
34010,
34019,
34030,
34190,
34270,
34272,
34273,
34274,
34275,
34276,
34277,
34278,
34279,
34280,
34281,
34282,
34283,
34284,
34285,
34286,
34287,
34288,
34289,
34310,
34311,
34312,
34313,
34314,
34315,
34316,
34317,
34318,
34319,
34330,English
34330,French
34330,German
34330,Italian
34330,Russian
34330,Spanish - Spain
34410,English
34410,Russian
34410,French
34420,English
34420,Russian
34420,Spanish - Spain
34420,Italian
34440,
34450,
34460,
34470,
34500,
34600,
34630,
34640,
34800,
34810,
34820,
34830,
34870,English
34870,German
34870,Russian
34900,
34920,
35000,
35010,
35070,
35130,
35140,
35300,
35310,
35320,English
35320,Russian
35450,English
35450,German
35450,Russian
35450,Polish
35460,
35480,
35600,
35700,English
35700,French
35700,German
35700,Italian
35700,Spanish - Spain
35720,English
35720,French
35720,German
35720,Spanish - Spain
35720,Traditional Chinese
35725,English
35725,French
35725,German
35725,Spanish - Spain
35725,Traditional Chinese
35800,
36000,
36180,
36240,
36900,
36910,
37000,English
37000,German
37000,Polish
37000,Russian
37010,
37030,
37100,
37210,
37220,
37230,
37240,
37260,
37270,
37280,
37290,
37300,
37310,
37320,
37330,
37340,
37360,
37370,
37380,
37390,
37400,
37420,
37500,
37600,
37700,
37800,
37960,
37970,
37980,
37990,
38000,
38010,
38020,
38070,
38080,
38090,
38100,
38110,
38120,
38130,
38140,
38150,
38160,
38170,
38180,
38190,
38210,
38230,
38400,
38410,
38420,
38430,
38440,
38450,
38460,
38490,
38600,
38700,
38720,
38740,
39000,
39110,
39120,French
39120,German
39120,English
39140,
39150,
39160,
39190,
39200,
39210,English
39210,French
39210,German
39210,Japanese
39360,
39391,
39392,
39500,
39510,English
39510,German
39510,Polish
39510,Russian
39520,English
39520,German
39530,
39540,
39550,English
39550,French
39550,German
39550,Spanish - Spain
39550,Russian
39560,
39630,
39640,
39650,
39660,
39670,
39680,
39690,
39800,
39900,English
40100,
40200,
40210,
40300,
40320,
40330,
40340,
40350,
40370,
40380,
40390,English
40390,German
40390,Russian
40390,Polish
40400,English
40420,
40500,
40700,English
40700,French
40700,Italian
40700,German
40700,Spanish - Spain
40700,Czech
40700,Japanese
40700,Korean
40700,Polish
40700,Portuguese
40700,Portuguese - Brazil
40700,Russian
40700,Simplified Chinese
40700,Traditional Chinese
40700,Turkish
40720,English
40720,French
40720,Italian
40720,German
40720,Spanish - Spain
40720,Arabic
40720,Portuguese - Brazil
40720,Bulgarian
40720,Danish
40720,Finnish
40720,Dutch
40720,Japanese
40720,Korean
40720,Spanish - Latin America
40720,Hungarian
40720,Norwegian
40720,Polish
40720,Portuguese
40720,Romanian
40720,Russian
40720,Thai
40720,Traditional Chinese
40720,Turkish
40720,Ukrainian
40720,Vietnamese
40720,Simplified Chinese
40720,Czech
40720,Greek
40720,Swedish
40800,
40930,
40950,English
40950,French
40950,German
40950,Italian
40950,Spanish - Spain
40950,Polish
40950,Portuguese - Brazil
40950,Russian
40950,Simplified Chinese
40970,English
40970,French
40970,Italian
40970,German
40970,Spanish - Spain
40970,Polish
40970,Russian
40970,Portuguese - Brazil
40980,English
40980,French
40980,Italian
40980,German
40980,Spanish - Spain
40980,Russian
40980,Simplified Chinese
40990,English
40990,French
40990,German
40990,Italian
40990,Spanish - Spain
40990,Czech
40990,Russian
41000,
41014,English
41014,Russian
41050,English
41060,English
41070,English
41070,Russian
41070,Bulgarian
41100,
41300,
41400,
41500,English
41600,
41660,
41680,
41700,German
41700,English
41700,French
41700,Italian
41700,Russian
41700,Spanish - Spain
41700,Ukrainian
41700,Polish
41730,
41740,English
41740,German
41740,Russian
41740,Polish
41800,
41900,English
41900,German
41900,Russian
42000,
42120,
42140,
42147,
42170,English
42170,Hungarian
42200,
42210,
42220,
42230,
42500,
42670,
42680,
42700,
42710,
42810,
42850,
42890,
42900,
42910,
42920,
42930,
42940,
42950,
42960,
42980,
42990,English
43000,
43100,
43190,
43500,
43600,
44100,
44600,
44680,
44690,English
45000,
45100,
45200,
45300,
45400,
45410,
45420,
45450,
45700,English
45710,English
45710,Spanish - Spain
45720,English
45720,Spanish - Spain
45730,
45740,English
45740,Korean
45750,English
45750,Russian
45760,English
45760,Japanese
45760,Simplified Chinese
45770,English
45770,Korean
46000,
46200,
46250,English
46250,Russian
46250,German
46250,Polish
46260,
46270,English
46270,German
46270,Russian
46270,Polish
46280,English
46280,Polish
46290,
46340,
46350,English
46350,Russian
46350,German
46350,Italian
46350,Spanish - Spain
46360,
46370,English
46370,Polish
46380,
46400,
46410,
46440,
46450,
46460,
46480,
46490,
46500,English
46500,French
46500,German
46500,Spanish - Spain
46500,Italian
46500,Polish
46500,Russian
46510,English
46510,French
46510,German
46510,Italian
46510,Polish
46520,
46540,
46550,
46560,
46570,English
46570,German
46600,
46700,
46710,
46720,
46730,
46740,
46750,
46760,
46770,
46790,
46830,
46840,
46850,
47000,
47110,
47120,
47130,
47400,English
47400,French
47400,German
47400,Italian
47400,Polish
47400,Russian
47410,English
47410,Korean
47500,
47520,
47540,
47570,
47700,
47730,
47780,French
47780,German
47780,Italian
47780,Spanish - Spain
47780,English
47790,English
47790,French
47790,German
47790,Italian
47790,Spanish - Spain
47790,Traditional Chinese
47810,
47830,English
47830,French
47830,German
47830,Italian
47830,Spanish - Spain
47830,Traditional Chinese
47870,
47880,
47889,
47890,
47920,
47936,
48000,
48110,
48150,
48173,English
48173,French
48173,German
48173,Italian
48173,Spanish - Spain
48173,Swedish
48190,
48220,
48240,English
48240,French
48240,German
48240,Russian
48700,
48720,
48800,
48950,
49000,
49300,
49320,
49330,
49470,
49520,English
49520,French
49520,German
49520,Italian
49520,Japanese
49520,Spanish - Spain
49520,Traditional Chinese
49540,
49600,
49800,
49810,
49900,
50000,
50100,English
50100,French
50100,German
50100,Italian
50100,Spanish - Spain
50100,Traditional Chinese
50130,English
50130,French
50130,German
50130,Italian
50130,Spanish - Spain
50130,Czech
50130,Russian
50300,
50510,
50620,
50640,
50820,
50910,
50920,
50930,
50940,
50960,
50970,
50980,
50990,
51000,
51010,English
51020,
51030,
51060,English
52003,English
52003,French
52003,German
52003,Russian
52003,Spanish - Spain
52003,Traditional Chinese
52003,Korean
55000,
55020,
55040,
55100,
55110,
55140,
55150,Russian
55230,English
55230,Spanish - Spain
56400,English
56400,Traditional Chinese
56437,English
56437,Traditional Chinese
56438,
57000,
57200,
57300,English
57300,Simplified Chinese
57400,English
57400,Spanish - Spain
57620,
57640,English
57640,French
57640,German
57640,Spanish - Spain
57640,Italian
57650,
57680,
57690,English
57690,French
57690,German
57690,Italian
57690,Spanish - Spain
57690,Korean
57700,
57740,
57800,
57900,English
57900,French
57900,German
57900,Italian
57900,Spanish - Spain
58200,
58230,
58400,
58520,
58550,
58560,
58570,English
58570,French
58570,German
58570,Russian
58610,English
58610,French
58610,German
58610,Traditional Chinese
60340,
60350,
60600,
60700,
60800,
61100,
61310,
61500,
61510,
61520,
61600,
61700,
61730,English
61730,German
61730,French
61730,Italian
61730,Spanish - Spain
62000,
62100,
63000,
63110,
63200,
63209,
63500,
63610,English
63610,French
63610,Italian
63610,German
63610,Spanish - Spain
63610,Japanese
63610,Polish
63610,Russian
63650,
63660,English
63660,French
63660,German
63660,Spanish - Spain
63660,Polish
63700,
63710,
63800,
63900,English
63900,French
63900,German
63900,Italian
63900,Russian
63900,Spanish - Spain
63910,
63940,English
63940,German
63940,Italian
63940,Russian
63940,Spanish - Spain
63940,French
63950,
63960,
64000,
65070,
65080,
65200,
65270,
65300,
65400,
65500,
65530,English
65530,German
65530,French
65530,Italian
65530,Spanish - Spain
65540,English
65540,German
65540,Polish
65560,English
65560,German
65600,English
65600,German
65600,Russian
65610,English
65610,French
65610,German
65610,Italian
65610,Spanish - Spain
65610,Russian
65710,
65730,English
65730,Spanish - Spain
65740,English
65740,Polish
65780,
65790,English
65790,Spanish - Spain
65800,
65930,English
65930,German
65930,French
65930,Italian
65930,Spanish - Spain
65930,Russian
65980,English
65980,French
65980,Italian
65980,German
65980,Spanish - Spain
65980,Polish
65980,Russian
65980,Traditional Chinese
67000,
67370,English
67370,French
67370,German
67370,Italian
67370,Japanese
67370,Spanish - Spain
67370,Russian
70000,
70100,
70110,
70120,
70200,
70210,
70300,
70400,Japanese
70420,Japanese
70500,
70600,
70620,English
70620,Spanish - Spain
70640,English
70650,English
70650,Spanish - Spain
70660,English
70900,
71000,English
71110,
71111,
71112,
71113,
71114,
71115,
71116,
71117,
71118,
71119,
71120,
71160,
71161,
71164,
71165,
71166,
71167,
71168,
71230,
71240,
71250,
71260,
71340,
71390,
72000,English
72200,
72400,English
72400,Russian
72850,
72900,English
72900,Russian
73010,
73020,
73060,
73170,
73190,
73210,English
73210,French
73210,German
73210,Spanish - Spain
73220,
73230,
78000,
80000,
80200,
80300,
80310,English
80310,German
80330,English
80340,English
80350,English
80360,English
90200,
90400,
90500,
91100,
91200,
91330,
91600,
91700,
91800,
91810,
91900,
92000,English
92000,Traditional Chinese
92100,English
92200,
92210,
92220,
92300,
92400,
92600,
92700,
92800,
92900,
93200,
94000,
94200,
94300,
94400,
94590,
94620,
95000,
95300,
95400,
95700,
95900,
96000,
96100,English
96200,
96800,
96900,English
97000,
97100,
97110,
97120,
97130,
97330,
98100,English
98100,Polish
98200,
98300,
98400,English
98400,German
98400,Polish
98500,
98600,
98800,
98900,English
99100,
99120,
99300,
99400,English
99400,German
99400,Polish
99400,Russian
99410,English
99700,
99830,
99900,
99910,
100400,
100980,
102200,
102400,
102600,English
102600,German
102600,French
102600,Italian
102600,Spanish - Spain
102600,Russian
102600,Japanese
102600,Polish
102600,Portuguese - Brazil
102810,
102840,
102850,
104000,
104020,English
104100,
104200,
104600,
104900,English
105000,English
105000,German
105000,French
105000,Russian
105000,Polish
105100,
105300,
105420,English
105420,Portuguese
105450,English
105450,French
105450,German
105450,Italian
105450,Spanish - Spain
105600,
105700,
105800,English
105800,French
105800,Italian
105800,Spanish - Spain
105800,Japanese
105800,German
105800,Dutch
105800,Polish
105800,Portuguese
105800,Russian
107100,English
107100,Simplified Chinese
107200,English
107300,
107310,
107410,English
107410,Turkish
107600,English
107800,
108110,English
108110,German
108200,English
108200,French
108200,German
108200,Italian
108200,Spanish - Spain
108210,English
108210,French
108500,
108600,
108700,English
108710,English
108710,German
108710,French
108710,Italian
108710,Spanish - Spain
108710,Japanese
108710,Spanish - Latin America
108800,
109200,
109500,
109600,English
109600,French
109600,German
109600,Russian
109700,
110400,English
110500,English
110600,
110610,
110630,
110800,English
110800,Spanish - Spain
111000,English
111000,Swedish
111010,English
111010,Portuguese
111100,
111300,
111400,English
111400,Spanish - Spain
111600,
111800,
111900,English
111900,French
111900,Italian
111900,German
111900,Spanish - Spain
111900,Russian
112100,
113020,
113200,English
113400,
113420,
115100,
115110,English
115110,German
115110,French
115110,Italian
115110,Spanish - Spain
115120,English
115120,Japanese
115200,English
115200,Russian
115200,German
115200,Ukrainian
115210,
115220,
115300,
115320,English
115320,Spanish - Spain
115800,English
115800,Japanese
115800,French
115800,Italian
115800,German
115800,Spanish - Spain
115800,Korean
115800,Polish
115800,Portuguese - Brazil
115800,Russian
115800,Simplified Chinese
115800,Traditional Chinese
115800,Norwegian
116100,
116120,
200010,English
200010,Japanese
200020,English
200020,German
200020,Polish
200080,
200130,
200150,English
200170,English
200170,Czech
200190,
200210,English
200230,
200260,English
200260,French
200260,German
200260,Italian
200260,Spanish - Spain
200370,English
200370,German
200390,English
200390,German
200410,
200490,English
200490,German
200490,French
200490,Czech
200510,English
200510,German
200510,French
200510,Italian
200510,Spanish - Spain
200510,Russian
200510,Polish
200510,Traditional Chinese
200550,English
200550,German
200550,French
200670,
200710,English
200710,Japanese
200710,Simplified Chinese
200710,Traditional Chinese
200710,German
200710,Polish
200710,Russian
200900,English
200910,
200940,
200960,
200980,
200990,
201000,
201010,
201070,English
201070,Swedish
201210,
201230,
201270,English
201270,French
201270,German
201270,Italian
201270,Russian
201270,Spanish - Spain
201271,English
201271,French
201271,German
201271,Italian
201271,Russian
201271,Spanish - Spain
201290,English
201420,
201480,
201490,
201510,
201570,English
201790,English
201790,German
201790,French
201790,Italian
201790,Spanish - Spain
201790,Russian
201790,Japanese
201790,Polish
201790,Portuguese - Brazil
201810,English
201810,French
201810,Italian
201810,Spanish - Spain
201810,Japanese
201810,Russian
201870,
202070,English
202070,Spanish - Spain
202130,
202200,English
202310,English[b][/b]
202310,"Russian
[b][/b]"
202370,
202410,
202530,English
202530,German
202530,French
202530,Italian
202530,Spanish - Spain
202530,Japanese
202670,
202690,
202710,English
202730,English
202750,English
202750,Russian
202860,English
202860,Russian
202860,Italian
202860,Spanish - Spain
202970,English
202970,French
202970,German
202970,Italian
202970,Spanish - Spain
202990,English
202990,French
202990,German
202990,Italian
202990,Spanish - Spain
203140,English
203140,French
203140,German
203140,Italian
203140,Spanish - Spain
203140,Polish
203140,Russian
203140,Turkish
203160,English
203160,German
203160,French
203160,Italian
203160,Spanish - Spain
203160,Russian
203160,Polish
203160,Arabic
203210,
203290,English
203350,
203510,
203560,English
203630,
203650,English
203650,French
203650,German
203650,Italian
203650,Spanish - Spain
203750,English
203750,French
203750,German
203750,Italian
203750,Spanish - Spain
203770,
203830,English
203830,German
203830,Polish
203990,
204030,English
204030,French
204030,German
204030,Italian
204030,Japanese
204030,Spanish - Spain
204030,Traditional Chinese
204060,
204100,English
204100,Portuguese - Brazil
204120,English
204120,Spanish - Spain
204180,English
204180,German
204220,English
204240,
204300,English
204300,Simplified Chinese
204340,English
204360,English
204360,Russian
204390,English
204440,
204450,English
204450,Portuguese - Brazil
204530,
204560,English
204560,French
204560,German
204560,Polish
204580,
204630,
204760,
204860,English
204860,Russian
204860,Polish
204880,English
204880,French
204880,Italian
204880,German
204880,Russian
204940,
205020,English
205060,English
205070,
205080,English
205090,
205100,English
205100,German
205100,French
205100,Italian
205100,Spanish - Spain
205190,English
205190,German
205190,French
205190,Italian
205190,Spanish - Spain
205190,Japanese
205190,Dutch
205230,English
205230,Spanish - Spain
205270,
205530,English
205550,English
205610,English
205610,German
205610,Japanese
205650,English
205650,German
205650,French
205650,Russian
205650,Hungarian
205690,
205710,
205730,
205810,English
205810,German
205810,Spanish - Spain
205830,English
205840,English
205840,Russian
205840,Polish
205870,English
205910,
205950,English
205950,Spanish - Spain
205990,English
205990,Russian
206020,
206040,
206060,
206190,English
206210,English
206210,French
206210,German
206210,Italian
206210,Spanish - Spain
206230,English
206250,
